X,Y,OBJECTID,PlaceID,YearPlaceId,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,CountyFIPS,Notes
-86.5861040004184,34.7303689999776,1,AL002,2015AL002,Huntsville,AL,"Huntsville, AL",2015,201512,,,,,-,0,,-,0,,-,,34.730369,-86.586104,1089,
-92.2895949998433,34.7464809997884,2,AR003,2015AR003,Little Rock,AR,"Little Rock, AR",2015,201512,,,,,-,0,,-,0,,-,,34.746481,-92.289595,5119,
-111.651301999587,35.1982840000291,3,AZ004,2015AZ004,Flagstaff,AZ,"Flagstaff, AZ",2015,201512,,,,,-,0,,-,0,,-,,35.198284,-111.651302,4005,
-111.83147199998,33.4151839996613,4,AZ005,2015AZ005,Mesa,AZ,"Mesa, AZ",2015,201512,,,,,-,0,,-,0,,-,,33.415184,-111.831472,4013,
-111.926051999628,33.494170000154,5,AZ007,2015AZ007,Scottsdale,AZ,"Scottsdale, AZ",2015,201512,,,,,-,0,,-,0,,-,,33.49417,-111.926052,4013,
-111.940005000031,33.4255099999642,6,AZ008,2015AZ008,Tempe,AZ,"Tempe, AZ",2015,201512,,,,,-,0,,-,0,,-,,33.42551,-111.940005,4013,
-110.926479000263,32.2217430001412,7,AZ009,2015AZ009,Tucson,AZ,"Tucson, AZ",2015,201512,,,,,-,0,,-,0,,-,,32.221743,-110.926479,4019,
-122.241636000389,37.7652069997642,8,CA0010,2015CA0010,Alameda,CA,"Alameda, CA",2015,201512,,,,,-,0,,-,0,,-,,37.765207,-122.241636,6001,
-122.297777999921,37.8869439997349,9,CA0011,2015CA0011,Albany,CA,"Albany, CA",2015,201512,,,,,-,0,,-,0,,-,,37.886944,-122.297778,6001,
-118.399444000119,34.0730560003185,10,CA0012,2015CA0012,Beverly Hills,CA,"Beverly Hills, CA",2015,201512,,,,,-,0,,-,0,,-,,34.073056,-118.399444,6037,
-118.395099999832,37.3634999998283,11,CA0013,2015CA0013,Bishop,CA,"Bishop, CA",2015,201512,,,,,-,0,,-,0,,-,,37.3635,-118.3951,6027,
-122.363610999585,37.5833329998519,12,CA0014,2015CA0014,Burlingame,CA,"Burlingame, CA",2015,201512,,,,,-,0,,-,0,,-,,37.583333,-122.363611,6081,
-118.396467000336,34.0211219998781,13,CA0015,2015CA0015,Culver City,CA,"Culver City, CA",2015,201512,,,,,-,0,,-,0,,-,,34.021122,-118.396467,6037,
-122.311666999852,37.9158330000693,14,CA0016,2015CA0016,El Cerrito,CA,"El Cerrito, CA",2015,201512,,,,,-,0,,-,0,,-,,37.915833,-122.311667,6013,
-117.117222000334,32.5783329996437,15,CA0017,2015CA0017,Imperial Beach,CA,"Imperial Beach, CA",2015,201512,,,,,-,0,,-,0,,-,,32.578333,-117.117222,6073,
-118.193740000426,33.7700500002826,16,CA0018,2015CA0018,Long Beach,CA,"Long Beach, CA",2015,201512,,,,,-,0,,-,0,,-,,33.77005,-118.19374,6037,
-118.243684999818,34.0522339996633,17,CA0019,2015CA0019,Los Angeles,CA,"Los Angeles, CA",2015,201512,,,,,-,0,,-,0,,-,,34.052234,-118.243685,6037,
-118.00194800023,34.1442619999077,18,CA0020,2015CA0020,Monrovia,CA,"Monrovia, CA",2015,201512,,,,,-,0,,-,0,,-,,34.144262,-118.001948,6037,
-122.083850999983,37.3860520002631,19,CA0021,2015CA0021,Mountain View,CA,"Mountain View, CA",2015,201512,,,,,-,0,,-,0,,-,,37.386052,-122.083851,6085,
-117.09919699963,32.6781089997458,20,CA0022,2015CA0022,National City,CA,"National City, CA",2015,201512,,,,,-,0,,-,0,,-,,32.678109,-117.099197,6073,
-122.271113999943,37.8043639998519,21,CA0023,2015CA0023,Oakland,CA,"Oakland, CA",2015,201512,,,,,-,0,,-,0,,-,,37.804364,-122.271114,6001,
-121.494399999692,38.5815719997451,22,CA0024,2015CA0024,Sacramento,CA,"Sacramento, CA",2015,201512,,,,,-,0,,-,0,,-,,38.581572,-121.4944,6067,
-121.886328999628,37.3382080000815,23,CA0027,2015CA0027,San Jose,CA,"San Jose, CA",2015,201512,,,,,-,0,,-,0,,-,,37.338208,-121.886329,6085,
-122.325524999822,37.5629919996482,24,CA0028,2015CA0028,San Mateo,CA,"San Mateo, CA",2015,201512,,,,,-,0,,-,0,,-,,37.562992,-122.325525,6081,
-119.698190000211,34.4208309996651,25,CA0030,2015CA0030,Santa Barbara,CA,"Santa Barbara, CA",2015,201512,,,,,-,0,,-,0,,-,,34.420831,-119.69819,6083,
-118.54258599966,34.3916640003623,26,CA0031,2015CA0031,Santa Clarita,CA,"Santa Clarita, CA",2015,201512,,,,,-,0,,-,0,,-,,34.391664,-118.542586,6037,
-122.03079599984,36.9741169996908,27,CA0032,2015CA0032,Santa Cruz,CA,"Santa Cruz, CA",2015,201512,,,,,-,0,,-,0,,-,,36.974117,-122.030796,6087,
-119.976943999882,38.9400000003388,28,CA0034,2015CA0034,South Lake Tahoe,CA,"South Lake Tahoe, CA",2015,201512,,,,,-,0,,-,0,,-,,38.94,-119.976944,6017,
-122.065181999746,37.9100780000624,29,CA0036,2015CA0036,Walnut Creek,CA,"Walnut Creek, CA",2015,201512,,,,,-,0,,-,0,,-,,37.910078,-122.065182,6013,
-118.370969000122,34.0879809996702,30,CA0037,2015CA0037,West Hollywood,CA,"West Hollywood, CA",2015,201512,,,,,-,0,,-,0,,-,,34.087981,-118.370969,6037,
-104.831920000169,39.7294320001906,31,CO0039,2015CO0039,Aurora,CO,"Aurora, CO",2015,201512,,,,,-,0,,-,0,,-,,39.729432,-104.83192,8005,
-105.086650000261,39.9205409996982,32,CO0041,2015CO0041,Broomfield,CO,"Broomfield, CO",2015,201512,,,,,-,0,,-,0,,-,,39.920541,-105.08665,8014,
-105.084423000315,40.5852599999859,33,CO0043,2015CO0043,Fort Collins,CO,"Fort Collins, CO",2015,201512,,,,,-,0,,-,0,,-,,40.58526,-105.084423,8069,
-104.8925,39.5488889998517,34,CO0044,2015CO0044,Lone Tree,CO,"Lone Tree, CO",2015,201512,,,,,-,0,,-,0,,-,,39.548889,-104.8925,8035,
-105.101928000437,40.1672069998914,35,CO0045,2015CO0045,Longmont,CO,"Longmont, CO",2015,201512,,,,,-,0,,-,0,,-,,40.167207,-105.101928,8013,
-80.1392119998724,25.9564809998731,36,FL0047,2015FL0047,Aventura,FL,"Aventura, FL",2015,201512,,,,,-,0,,-,0,,-,,25.956481,-80.139212,12086,
-80.2683840001891,25.7214899998446,37,FL0048,2015FL0048,Coral Gables,FL,"Coral Gables, FL",2015,201512,,,,,-,0,,-,0,,-,,25.72149,-80.268384,12086,
-80.3553299997713,25.8195419997919,38,FL0049,2015FL0049,Doral,FL,"Doral, FL",2015,201512,,,,,-,0,,-,0,,-,,25.819542,-80.35533,12086,
-82.3248260003158,29.651634000387,39,FL0051,2015FL0051,Gainesville,FL,"Gainesville, FL",2015,201512,,,,,-,0,,-,0,,-,,29.651634,-82.324826,12001,
-80.1649999996157,25.6902780001929,40,FL0052,2015FL0052,Key Biscayne,FL,"Key Biscayne, FL",2015,201512,,,,,-,0,,-,0,,-,,25.690278,-80.165,12086,
-80.3250000002722,25.9116670000431,41,FL0056,2015FL0056,Miami Lakes,FL,"Miami Lakes, FL",2015,201512,,,,,-,0,,-,0,,-,,25.911667,-80.325,12086,
-80.1883329998073,25.8652389998649,42,FL0057,2015FL0057,Miami Shores,FL,"Miami Shores, FL",2015,201512,,,,,-,0,,-,0,,-,,25.865239,-80.188333,12086,
-80.2911109995849,25.819721999762,43,FL0058,2015FL0058,Miami Springs,FL,"Miami Springs, FL",2015,201512,,,,,-,0,,-,0,,-,,25.819722,-80.291111,12086,
-80.153544000393,25.8455719998781,44,FL0059,2015FL0059,North Bay Village,FL,"North Bay Village, FL",2015,201512,,,,,-,0,,-,0,,-,,25.845572,-80.153544,12086,
-80.1867140003067,25.8900949996061,45,FL0060,2015FL0060,North Miami,FL,"North Miami, FL",2015,201512,,,,,-,0,,-,0,,-,,25.890095,-80.186714,12086,
-80.2951689996421,25.7102779997397,46,FL0062,2015FL0062,South Miami,FL,"South Miami, FL",2015,201512,,,,,-,0,,-,0,,-,,25.710278,-80.295169,12086,
-84.2807329996061,30.438255999948,47,FL0063,2015FL0063,Tallahassee,FL,"Tallahassee, FL",2015,201512,,,,,-,0,,-,0,,-,,30.438256,-84.280733,12073,
-84.3879819998928,33.7489950001087,48,GA0066,2015GA0066,Atlanta,GA,"Atlanta, GA",2015,201512,,,,,-,0,,-,0,,-,,33.748995,-84.387982,13121,
-85.0766669997404,33.5808330002841,49,GA0067,2015GA0067,Carrollton,GA,"Carrollton, GA",2015,201512,,,,,-,0,,-,0,,-,,33.580833,-85.076667,13045,
-81.7791669996579,32.4452779996504,50,GA0071,2015GA0071,Statesboro,GA,"Statesboro, GA",2015,201512,,,,,-,0,,-,0,,-,,32.445278,-81.779167,13031,
-157.858332999685,21.3069440002275,51,HI0072,2015HI0072,Honolulu,HI,"Honolulu, HI",2015,201512,,,,,-,0,,-,0,,-,,21.306944,-157.858333,15003,
-111.402500000021,42.1908330000937,52,ID0074,2015ID0074,Bloomington,ID,"Bloomington, ID",2015,201512,,,,,-,0,,-,0,,-,,42.190833,-111.4025,16007,
