sysid,sysname,year,assigned_month,yr_mo_d,sum_min,num_trip,sysname_alt
1,"Blue Bikes (Boston, MA)",2019,1,01/02/2019 12:00:00 AM,32187,2623,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/03/2019 12:00:00 AM,36632,2993,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/04/2019 12:00:00 AM,43345,3379,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/05/2019 12:00:00 AM,9177,782,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/06/2019 12:00:00 AM,21476,1620,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/07/2019 12:00:00 AM,32297,2858,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/08/2019 12:00:00 AM,34698,2970,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/09/2019 12:00:00 AM,40676,3375,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/10/2019 12:00:00 AM,39484,3320,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/11/2019 12:00:00 AM,30072,2636,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/12/2019 12:00:00 AM,13959,1227,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/13/2019 12:00:00 AM,13246,1157,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/14/2019 12:00:00 AM,33418,3000,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/15/2019 12:00:00 AM,38170,3291,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/16/2019 12:00:00 AM,40472,3552,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/17/2019 12:00:00 AM,34999,3136,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/18/2019 12:00:00 AM,40791,3271,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/19/2019 12:00:00 AM,17688,1380,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/21/2019 12:00:00 AM,2556,151,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/22/2019 12:00:00 AM,13923,932,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,01/23/2019 12:00:00 AM,23469,1799,"Boston Metro, MA (Blue Bikes)"
